ID,Translation
0,Здравстуйте
1,Привет
2,Как ваши дела
3,Как твоя работа
4,У меня все отлично
5,У меня все хорошо
6,У меня все нормально
7,У меня все плохо
8,У меня все очень плохо
9,Вы что делаете
10,Я отдыхаю
11,Я работаю
12,Я смотрю телевизор
13,"Как жизнь, (Как оно)"
14,Как твое самочувствие
15,Что случилось
16,"О, я просто устал"
17,Что-то случилось (вопрос)
18,"Ничего, все нормально"
19,Какие новости (вопрос)
20,У меня для вас новости
21,У меня есть новости
22,Ничего нового
23,Пекрасные новости
24,Как прошел твой день (вопрос)
25,Было много дел
26,"Хорошо, сегодня много успел"
27,Где здесь туалет
28,Мне нужно в туалет
29,Как я могу помочь (вопрос)
30,Мне нужна помощь
31,Я вам помогу
32,Я ищу работу
33,Мне нужен переводчик
34,Что делать в выходной (вопрос)
35,(Пожалуйста) Вызовите скорую
36,(Пожалуйста) Вызовите полицию
37,"Помогите, болит голова, сердце и трудно дышать"
38,Я не могу дышать
39,Мне нужно больше дышать
40,Что делать (вопрос)
41,Желаю хорошего дня
42,Желаю хорошего вечера
43,Доброе утро
44,Добрый день
45,Добрый вечер
46,Спокойной ночи
47,Береги себя
48,Передавай привет жене
49,Удачи завтра
50,"Желаю, чтобы все получилось"
51,Спасибо большое
52,До скорой встречи
53,Будем созваниваться
54,До свидания
55,Как тебя зовут (вопрос)
56,Меня зовут
58,Мое прозвище
59,Приятно познакомиться
60,Мне тоже
61,Сколько вам лет
62,Мой возраст
64,Откуда вы родом
65,Где ты родился
66,Я из севера Казахстана
67,Я с юга Казахстана
68,Я с запада Казахстана
69,Я с востока России
70,Я живу в городе Алматы
71,Я живу в городе Москва
72,Я живу в городе Санкт-Питербург
73,Я живу в городе Ташкент
74,Давно живете в Киеве (вопрос)
75,"Да, я здесь родился"
76,"Нет, живу пока здесь"
77,"Да, живу с самого детства"
78,Я живу с рождения
79,"Нет, переехали сюда недавно"
80,Когда у тебя день рождения
81,У меня сегодня день рождения
82,У меня вчера было день рождения
83,"У тебя завтра день рождения, поздравляю"
84,Я рад за тебя
85,"Ты замужем (женат) (вопрос)"
86,У меня есть супруг(а)
87,Я женат(замужем)
88,"Я холост, не замужем"
89,У тебя есть дети (вопрос)
90,Моя дочка красивая
91,Моя жена ходит в магазин
92,Мой муж играет в футбол
93,Ваш сын очень умный
94,Мой сын занимается спортивной борьбой
95,Твои мальчик и девочка ходят на плавание
96,Дети играют в футбол
97,Чем ты занимаешься
98,Я домохозяйка
99,Где ты работаешь
101,Я работаю на швейной фабрике
102,Я работаю в кафе
103,Я работаю плотником в мастерской
104,Моя мама работает парихмахером
105,Мой папа сапожник
106,Я скоро буду студентом
107,Я тоже учусь в школе
108,Я люблю животных
109,Я тоже обожаю собак
110,У меня есть кошка
111,Ты будешь кофе (вопрос)
112,Я обожаю кофе
113,"Я не пью кофе, но люблю чай"
114,Пойдем прогуляемся
115,Хочешь вдвоем пройтись
116,Давай пить кофе
117,Пойдем пить чай
118,Приглашаю тебя к себе домой
119,Мне надо домой
120,Ты голоден (вопрос)
121,Я хочу есть
122,Я хочу спать
123,Ты любишь рыбу (вопрос)
124,Ты ешь свинину (вопрос)
125,"Да, я ем все"
126,"Нет, я не ем рыбу"
127,Я всегда с радостью
128,Я с удовольствием приду в следующий раз
129,какой у тебя номер телефона
130,У тебя есть инстаграм (вопрос)
131,Добавь меня в группу вотсап
132,Добавь меня в группу фейсбук
133,Вы мне нравитесь
134,Вы мне не нравитесь
135,Давай будем друзьями
136,Мои брат и сестра глухие
137,У тебя есть глухие родственники (вопрос)
138,Мои мама и папа глухие
139,Мои бабушка и дедушка слышащие
140,У меня слышащие дядя и тетя
141,У меня глухой ребенок
142,Мой брат потерял слух
143,Моя дочь родилась глухой
144,Я хочу попрактиковать мой жестовый язык
145,"Супер, я научу"
146,Я с удовольствием тебе помогу
147,"Я извиняюсь, я только начинаю учить жестовый язык"
148,"Ничего страшного, успеешь"
149,Я немного знаю жестовый язык
150,"К сожалению, я не понимаю"
151,Вы слишком быстро жестикулируете
152,"Не спешите, пожалуйста"
153,"Извините, я не успеваю"
154,"Можете, пожалуйста, помедленнее"
155,"Можете, пожалуйста, повторить (вопрос)"
156,Как будет жест(показать на предмет)
157,"Простите, я не знаю"
158,Я немного волнуюсь
159,Вы глухой (вопрос)
160,Извините меня
161,Простите
162,Мне жаль
163,Мне очень жаль
164,"Ничего, все нормально"
165,"Не забывай продолжать практиковаться, учиться хорошо"
166,Какой прекрасный день
167,Сегодня так жарко
168,Какая сейчас погода (вопрос)
169,На улице идет снег (вопрос)
170,Хорошоя погода
171,На улице очень холодно
172,Я люблю дождь
173,Я не люблю жару
174,Мне нравится ветер
175,На улице очень сильный ветер
