,Gloss
0,ЗДРАВСТВУЙТЕ
1,ПРИВЕТ
2,КАК ТВОЙ ДЕЛА
3,КАК ТВОЙ РАБОТА
4,У МЕНЯ ВСЕ ОТЛИЧНО
5,У МЕНЯ ВСЕ ХОРОШО
6,У МЕНЯ ВСЕ НОРМАЛЬНО
7,У МЕНЯ ВСЕ ПЛОХО
8,У МЕНЯ ВСЕ ОЧЕНЬ ПЛОХО
9,ТЫ ЧТО ДЕЛАТЬ
10,Я ОТДЫХ
11,Я РАБОТА
12,Я СМОТРЕТЬ ТЕЛЕВИЗОР
13,КАК ЖИЗНЬ
14,КАК ТВОЙ САМ ЧУВСТВО
15,ЧТО СЛУЧАЙ
16,Я ПРОСТО УСТАЛ
17,ЧТО СЛУЧАЙ
18,НИЧЕГО ВСЕ НОРМАЛЬНО
19,КАКИЕ НОВОСТИ
20,У МЕНЯ ДЛЯ ТЕБЯ НОВОСТИ
21,У МЕНЯ ЕСТЬ НОВОСТИ
22,НИЧЕГО НОВОГО
23,ПЕКРАСНЫЕ НОВОСТИ
24,КАК ПРОШЕЛ ТВОЙ ДЕНЬ
25,БЫЛО МНОГО ДЕЛА
26,ХОРОШО СЕГОДНЯ МНОГО УСПЕЛ
27,ГДЕ ЗДЕСЬ ТУАЛЕТ
28,МНЕ НУЖНО ТУАЛЕТ
29,КАК Я МОГУ ПОМОЩЬ
30,МНЕ НУЖНО ПОМОЩЬ
31,Я ТЕБЕ ПОМОЩЬ БЫТЬ
32,Я ИСКАТЬ РАБОТА
33,МНЕ НАДО ПЕРЕВОДЧИК
34,ЧТО ДЕЛАТЬ ОТДЫХ
35,ВЫЗОВ ВРАЧ
36,ВЫЗОВ ПОЛИЦИЯ
37,ПОМОГИТЕ БОЛЬ ГОЛОВА СЕРДЦЕ И ТРУДНО ВОЗДУХ
38,Я НЕ МОГУ ДЫШАТЬ
39,МНЕ НАДО БОЛЬШЕ ДЫШАТЬ
40,ЧТО ДЕЛАТЬ
41,ЖЕЛАЮ ХОРОШО ДЕНЬ
42,ЖЕЛАЮ ХОРОШО ВЕЧЕР
43,ДОБРЫЙ УТРО
44,ДОБРЫЙ ДЕНЬ
45,ДОБРЫЙ ВЕЧЕР
46,СПОКОЙНО НОЧЬ
47,БЕРЕГИ СЕБЯ
48,ПЕРЕДАВАЙ ПРИВЕТ ЖЕНЕ
49,УДАЧИ ЗАВТРА
50,ЖЕЛАЮ ЧТОБЫ ВСЕ ПОЛУЧИЛОСЬ
51,СПАСИБО БОЛЬШОЕ
52,ДО СКОРО ВСТРЕЧА
53,БУДЕМ СОЗВАНИВАТЬСЯ
54,ДО СЛЕДУЮЩЕЙ ВСТРЕЧИ
55,КАК ТВОЙ ИМЯ
56,МОЙ ИМЯ
58,МОЙ ПРОЗВИЩЕ
59,ПРИЯТНО ПОЗНАКОМИТЬСЯ
60,МНЕ ТОЖЕ
61,СКОЛЬКО ВАМ ЛЕТ
62,МОЙ ВОЗРАСТ
64,ОТКУДА ТЫ РОДИЛСЯ
65,ГДЕ ТЫ РОДИЛСЯ
66,Я СЕВЕР КАЗАХСТАН ПРИЕХАЛ
67,Я ЮГ КАЗАХСТАН ПРИЕХАЛ
68,Я ЗАПАД КАЗАХСТАН ПРИЕХАЛ
69,Я ВОСТОК РОССИЯ ПРИЕХАЛ
70,Я ЖИВУ ГОРОД АЛМАТЫ
71,Я ЖИВУ ГОРОД МОСКВА
72,Я ЖИВУ ГОРОД САНКТ-ПEТЕРБУРГ
73,Я ЖИВУ ГОРОД ТАШКЕНТ
74,ДАВНО ЖИТЬ КИЕВ
75,ДА Я ЗДЕСЬ РОДИЛСЯ
76,НЕТ ЖИВУ ПОКА ЗДЕСЬ
77,ДА ЖИВУ ВЫРОС
78,Я ЖИВУ РОДИЛСЯ
79,НЕТ ПЕРЕЕХАЛИ ЗДЕСЬ НЕДАВНО
80,КОГДА У ТЕБЯ ДЕНЬ РОЖДЕНИЯ
81,У МЕНЯ СЕГОДНЯ ДЕНЬ РОЖДЕНИЯ
82,У МЕНЯ ВЧЕРА БЫЛО ДЕНЬ РОЖДЕНИЯ
83,У ТЕБЯ ЗАВТРА ДЕНЬ РОЖДЕНИЯ ПОЗДРАВЛЯЮ
84,Я РАД ТЕБЯ
85,ТЫ ЗАМУЖЕМ
86,У МЕНЯ ЕСТЬ СУПРУГ
87,Я ЗАМУЖЕМ
88,Я ХОЛОСТ
89,У ТЕБЯ ЕСТЬ ДЕТИ
90,МОЙ ДОЧКА КРАСИВАЯ
91,МОЙ ЖЕНА ХОДИТ В МАГАЗИН
92,МОЙ МУЖ ИГРА ФУТБОЛ
93,ТВОЙ СЫН ОЧЕНЬ УМНЫЙ
94,МОЙ СЫН ЗАНИМАТЬСЯ СПОРТ БОРЬБА
95,ТВОЙ МАЛЬЧИК И ДЕВОЧКА ХОДЯТ НА ПЛАВАНИЕ
96,ДЕТИ ИГРА ФУТБОЛ
97,ЧЕМ ТЫ ЗАНИМАЕШЬСЯ
98,Я ДОМА ХОЗЯЙН
99,ГДЕ ТЫ РАБОТА
100,Я ИЩУ РАБОТА
101,Я РАБОТА ШВЕЙНАЯ МАШИНА ФАБРИКА
102,Я РАБОТА КАФЕ
103,Я РАБОТА ПЛОТНИК МАСТЕР КОМНАТА
104,МОЙ МАМА РАБОТА ПАРИКМАХЕР
105,МОЙ ПАПА ОБУВЬ ПОШЫВАТЬ
106,Я СКОРО БУДУ УНИВЕРСИТЕТ УЧИТЬСЯ
107,Я ТОЖЕ УЧУСЬ В ШКОЛЕ
108,Я ЛЮБЛЮ ЖИВОТНЫХ
109,Я ТОЖЕ ОБОЖАЮ СОБАК
110,У МЕНЯ ЕСТЬ КОШКА
111,ТЫ БУДЕШЬ КОФЕ
112,Я ОБОЖАЮ КОФЕ
113,"Я НЕ ПЬЮ КОФЕ, НО ЛЮБЛЮ ЧАЙ"
114,ПОЙДЕМ ВОЗДУХ ПРОГУЛКА
115,ХОЧЕШЬ ВДВОЕМ ПРОГУЛКА
116,ДАВАЙ ПИТЬ КОФЕ
117,ПОЙДЕМ ПИТЬ ЧАЙ
118,ПРИГЛАШАЮ ТЕБЯ К СЕБЕ ДОМОЙ
119,МНЕ НАДО ДОМОЙ
120,ТЫ ГОЛОДЕН
121,Я ХОЧУ ЕСТЬ
122,Я ХОЧУ СПАТЬ
123,ТЫ ЛЮБИШЬ РЫБУ
124,ТЫ ЕШЬ СВИНИНУ
125,ДА Я ЕМ ВСЕ
126,НЕТ Я НЕ ЕМ РЫБУ
127,Я ВСЕГДА С РАДОСТЬЮ
128,Я С УДОВОЛЬСТВИЕМ ПРИДУ В СЛЕДУЮЩИЙ РАЗ
129,КАКОЙ У ТЕБЯ НОМЕР ТЕЛЕФОНА
130,У ТЕБЯ ЕСТЬ ИНСТАГРАМ
131,ДОБАВЬ МЕНЯ В ГРУППУ ВК
